cenario_id,temperatura_interna,temperatura_externa,integridade_estrutural,nivel_de_energia,pressao_dos_tanques,status_navegacao,status_comunicacao,status_propulsao,status_lifesuport,capacidade_total_kwh,consumo_decolagem_kwh,perdas_kwh,controle
cenario_50,5,16,1,15%,48,1,0,1,0,1599,118,46,FALSE
cenario_51,26,44,1,71%,35,1,1,1,1,1196,78,23,TRUE
cenario_52,13,51,1,28%,29,1,1,1,0,1390,90,34,FALSE
cenario_53,41,25,0,6%,26,1,1,0,0,506,117,37,FALSE
cenario_54,36,1,0,58%,21,1,0,1,0,865,179,11,FALSE
cenario_55,14,56,0,12%,34,0,0,1,1,1780,126,45,FALSE
cenario_56,38,-10,0,74%,31,0,0,1,1,1539,100,14,FALSE
cenario_57,16,54,1,64%,41,0,1,1,0,1265,91,39,FALSE
cenario_58,25,12,1,81%,36,1,0,0,1,1586,50,43,FALSE
cenario_59,34,51,1,26%,34,1,1,1,1,1163,175,6,FALSE
cenario_60,14,33,1,94%,22,1,0,0,1,729,142,24,FALSE
cenario_61,15,23,0,33%,44,0,0,1,0,990,64,20,FALSE
cenario_62,14,30,0,99%,44,0,0,0,1,1661,70,10,FALSE
cenario_63,49,57,0,4%,40,1,1,0,1,1998,174,9,FALSE
cenario_64,19,-5,0,29%,46,1,1,1,0,1590,82,13,FALSE
cenario_65,28,53,1,51%,40,1,1,0,0,1851,171,40,FALSE
cenario_66,34,56,1,7%,25,1,1,0,0,838,117,38,FALSE
cenario_67,30,26,0,58%,46,1,0,1,0,1742,158,18,FALSE
cenario_68,9,45,1,36%,27,0,1,1,1,1604,101,50,FALSE
cenario_69,13,33,1,64%,27,1,1,0,1,1138,152,47,FALSE
cenario_70,20,20,1,90%,32,1,1,0,0,1830,145,33,FALSE
cenario_71,31,60,0,17%,39,0,0,0,0,1559,165,12,FALSE
cenario_72,44,51,0,24%,24,1,0,0,1,1007,107,9,FALSE
cenario_73,23,47,1,0%,34,1,1,0,1,1192,55,42,FALSE
cenario_74,49,31,0,6%,25,0,1,1,1,1634,108,42,FALSE
cenario_75,42,46,1,45%,32,1,0,0,0,951,51,9,FALSE
cenario_76,41,56,0,36%,44,1,1,0,0,1949,65,19,FALSE
cenario_77,47,48,1,6%,42,0,1,1,1,638,58,26,FALSE
cenario_78,43,52,1,51%,20,0,0,1,1,645,181,20,FALSE
cenario_79,28,41,0,50%,47,0,1,0,0,1070,174,18,FALSE
cenario_80,49,38,1,21%,28,0,1,1,0,1604,83,41,FALSE
cenario_81,39,43,0,63%,47,1,1,1,0,1680,171,20,FALSE
cenario_82,42,4,1,50%,42,0,0,1,0,1468,154,17,FALSE
cenario_83,21,19,1,83%,32,1,1,1,1,693,74,47,TRUE
cenario_84,15,33,0,23%,27,0,1,0,0,1382,140,32,FALSE
cenario_85,43,55,1,48%,43,0,0,0,0,1341,169,8,FALSE
cenario_86,25,14,1,46%,34,1,0,0,1,1879,75,8,FALSE
cenario_87,49,-4,1,50%,48,1,1,0,0,1324,136,11,FALSE
cenario_88,16,28,1,28%,37,0,1,0,1,1009,99,17,FALSE
cenario_89,10,-2,0,77%,35,0,0,1,0,1598,164,13,FALSE
cenario_90,20,4,1,18%,21,0,0,1,0,1364,96,22,FALSE
cenario_91,13,58,0,74%,50,1,1,0,1,1447,113,9,FALSE
cenario_92,20,12,0,42%,25,1,1,0,1,1407,190,11,FALSE
cenario_93,27,-7,1,91%,36,1,1,1,1,603,188,5,TRUE
cenario_94,12,-2,1,69%,49,1,1,0,1,691,110,15,FALSE
cenario_95,36,23,0,25%,39,1,0,1,0,1332,174,35,FALSE
cenario_96,22,18,1,22%,37,0,1,0,1,937,152,8,FALSE
cenario_97,25,14,1,54%,20,1,0,0,0,837,147,5,FALSE
cenario_98,18,37,0,60%,45,0,0,0,1,1299,117,34,FALSE
cenario_99,18,12,1,1%,22,1,0,0,1,1084,158,49,FALSE
cenario_100,33,5,1,99%,40,1,1,1,1,1996,192,47,TRUE
