cenario_id,temperatura_interna,temperatura_externa,integridade_estrutural,nivel_de_energia,pressao_dos_tanques,status_navegacao,status_comunicacao,status_propulsao,status_lifesuport,CONTROLE
cenario_49,86,39,0,52%,49,0,0,1,0,FALSE
cenario_50,28,16,1,15%,48,1,0,1,0,FALSE
cenario_51,92,44,0,71%,29,0,0,1,1,FALSE
cenario_52,9,51,1,28%,29,1,1,1,0,FALSE
cenario_53,16,25,0,6%,26,1,1,0,0,FALSE
cenario_54,95,1,0,58%,21,1,0,1,0,FALSE
cenario_55,52,56,0,12%,34,0,0,1,1,FALSE
cenario_56,28,-10,0,74%,31,0,0,1,1,FALSE
cenario_57,34,54,1,64%,41,0,1,1,0,FALSE
cenario_58,96,12,1,81%,36,1,0,0,1,FALSE
cenario_59,74,51,1,26%,34,1,1,1,1,FALSE
cenario_60,95,33,1,94%,22,1,0,0,1,FALSE
cenario_61,75,23,0,33%,44,0,0,1,0,FALSE
cenario_62,92,30,0,99%,44,0,0,0,1,FALSE
cenario_63,95,57,0,4%,40,1,1,0,1,FALSE
cenario_64,64,-5,0,29%,46,1,1,1,0,FALSE
cenario_65,92,53,1,51%,40,1,1,0,0,FALSE
cenario_66,66,56,1,7%,25,1,1,0,0,FALSE
cenario_67,7,26,0,58%,46,1,0,1,0,TRUE
cenario_68,37,45,1,36%,27,0,1,1,1,FALSE
cenario_69,53,33,1,64%,27,1,1,0,1,FALSE
cenario_70,74,20,1,90%,32,1,1,0,0,FALSE
cenario_71,65,60,0,17%,39,0,0,0,0,FALSE
cenario_72,14,51,0,24%,24,1,0,0,1,FALSE
cenario_73,28,47,1,0%,34,1,1,0,1,FALSE
cenario_74,76,31,0,6%,25,0,1,1,1,TRUE
cenario_75,54,46,1,45%,32,1,0,0,0,FALSE
cenario_76,67,56,0,36%,44,1,1,0,0,FALSE
cenario_77,87,48,1,6%,42,0,1,1,1,FALSE
cenario_78,32,52,1,51%,20,0,0,1,1,FALSE
cenario_79,18,41,0,50%,47,0,1,0,0,FALSE
cenario_80,25,38,1,21%,28,0,1,1,0,FALSE
cenario_81,72,43,0,63%,47,1,1,1,0,FALSE
cenario_82,83,4,1,50%,42,0,0,1,0,FALSE
cenario_83,83,19,0,65%,29,1,1,0,0,FALSE
cenario_84,77,33,0,23%,27,0,1,0,0,FALSE
cenario_85,39,55,1,48%,43,0,0,0,0,FALSE
cenario_86,36,14,1,46%,34,1,0,0,1,FALSE
cenario_87,6,-4,1,50%,48,1,1,0,0,FALSE
cenario_88,91,28,1,28%,37,0,1,0,1,FALSE
cenario_89,28,-2,0,77%,35,0,0,1,0,FALSE
cenario_90,92,4,1,18%,21,0,0,1,0,FALSE
cenario_91,27,58,0,74%,50,1,1,0,1,FALSE
cenario_92,56,12,0,42%,25,1,1,0,1,FALSE
cenario_93,10,-7,0,91%,36,1,0,0,1,FALSE
cenario_94,96,-2,1,69%,49,1,1,0,1,FALSE
cenario_95,17,23,0,25%,39,1,0,1,0,FALSE
cenario_96,94,18,1,22%,37,0,1,0,1,FALSE
cenario_97,59,14,1,54%,20,1,0,0,0,FALSE
cenario_98,58,37,0,60%,45,0,0,0,1,FALSE
cenario_99,74,12,1,1%,22,1,0,0,1,FALSE
cenario_100,78,5,0,14%,29,0,0,1,0,FALSE
